batter,pitcher,events,zone,p_throws,type,balls,strikes,outs_when_up,inning,launch_speed,launch_angle,woba_value,pitch_number,pitch_name
547180,669060,single,5,R,X,2,2,0,1,100.5,-4,0.9,5,Changeup
547180,605507,field_out,2,R,X,0,2,1,2,102.4,-29,0,3,4-Seam Fastball
547180,670990,field_out,13,R,X,0,1,1,7,94.3,8,0,2,Slider
547180,605483,field_out,7,L,X,1,0,2,1,71.7,-7,0,2,Curveball
547180,669022,strikeout,1,L,S,1,2,1,5,,,0,5,Curveball
547180,669022,field_out,9,L,X,1,1,2,3,92.5,54,0,3,4-Seam Fastball
547180,669022,field_out,13,L,X,3,2,2,1,82.4,62,0,7,Slider
547180,472610,strikeout,14,R,S,2,2,1,8,,,0,5,Slider
547180,605397,single,3,R,X,1,0,1,6,82.6,16,0.9,2,4-Seam Fastball
547180,605397,strikeout,13,R,S,0,2,1,4,,,0,5,Changeup
547180,489334,field_out,13,R,X,0,1,0,8,34.5,-46,0,2,Sinker
547180,592351,single,3,R,X,0,2,1,6,77.2,16,0.9,3,4-Seam Fastball
547180,592351,field_out,5,R,X,1,2,2,3,98.3,33,0,4,4-Seam Fastball
547180,642701,strikeout,3,R,S,0,2,0,8,,,0,3,Sinker
547180,672851,field_out,4,R,X,2,2,0,5,99.8,0,0,7,Changeup
547180,672851,single,5,R,X,0,2,0,3,100.6,16,0.9,3,Changeup
547180,640448,double,8,R,X,3,1,2,8,114.3,16,1.25,5,Split-Finger
547180,672851,single,13,R,X,3,2,1,1,102.9,7,0.9,12,Curveball
547180,660906,single,5,L,X,1,1,0,9,106.2,4,0.9,3,4-Seam Fastball
547180,571578,single,5,L,X,2,1,1,4,109.6,8,0.9,4,Sinker
547180,571578,field_out,4,L,X,1,2,2,1,100.4,-12,0,4,4-Seam Fastball
547180,541640,field_out,13,R,X,1,2,1,6,100.6,15,0,4,Changeup
547180,641447,field_out,1,L,X,3,2,0,6,97.5,-17,0,8,Cutter
547180,641447,field_out,6,L,X,0,0,1,3,97.5,20,0,1,Cutter
547180,641447,single,5,L,X,1,2,2,1,103.3,6,0.9,4,4-Seam Fastball
547180,542914,field_out,13,R,X,0,1,0,8,73.9,66,0,2,Slider
547180,669432,single,5,L,X,1,2,2,4,98.8,15,0.9,7,Slider
547180,595345,field_out,8,L,X,0,2,1,8,89.6,3,0,3,4-Seam Fastball
547180,542947,field_out,3,L,X,3,2,2,5,80.1,-22,0,7,Sinker
547180,645261,field_out,12,R,X,0,1,1,5,82.9,64,0,2,4-Seam Fastball
547180,645261,double,5,R,X,3,2,1,3,103.2,15,1.25,6,4-Seam Fastball
547180,596133,field_out,13,R,X,2,1,0,4,70.3,-42,0,4,Changeup
547180,573009,strikeout,7,L,S,1,2,2,7,,,0,4,Changeup
547180,518516,single,7,L,X,0,2,0,3,76,30,0.9,4,Cutter
547180,592761,single,4,L,X,2,1,0,8,100.3,-17,0.9,4,4-Seam Fastball
547180,518516,field_out,8,L,X,0,2,1,1,95.8,-4,0,3,4-Seam Fastball
547180,668678,single,13,R,X,2,2,2,2,76.5,17,0.9,6,Changeup
547180,670955,field_out,8,R,X,3,1,1,4,110.1,35,0,5,Changeup
547180,668678,single,1,R,X,0,0,1,1,96.6,18,0.9,1,Changeup
547180,664092,single,11,R,X,2,1,0,7,70.9,10,0.9,4,Changeup
547180,669203,field_out,6,R,X,1,1,0,5,107.2,7,0,3,Cutter
547180,669203,strikeout,1,R,S,2,2,0,3,,,0,6,Cutter
547180,665001,single,7,R,X,0,0,0,9,83.6,26,0.9,1,Curveball
547180,669203,strikeout,1,R,S,3,2,2,1,,,0,6,Cutter
547180,502202,home_run,8,R,X,1,2,0,7,110.2,25,2,4,4-Seam Fastball
547180,605288,field_out,1,R,X,1,0,2,5,93.2,43,0,2,Changeup
547180,605288,strikeout,11,R,S,0,2,1,3,,,0,3,Changeup
547180,608718,field_out,13,L,X,1,2,2,7,86,-3,0,4,4-Seam Fastball
547180,673316,home_run,3,R,X,1,0,2,9,112.4,25,2,2,Split-Finger
547180,605288,strikeout,8,R,S,3,2,2,1,,,0,6,Sinker
547180,669920,single,5,R,X,0,0,1,5,102.5,5,0.9,1,Slider
547180,502202,field_out,5,R,X,0,1,2,7,88.1,-22,0,2,4-Seam Fastball
547180,663776,double,6,L,X,1,0,0,5,100.7,18,1.25,2,Slider
547180,650671,field_out,8,L,X,2,2,2,6,98.1,48,0,6,Slider
547180,628452,home_run,4,R,X,3,2,2,8,107.1,28,2,7,Changeup
547180,547179,strikeout,12,R,S,2,2,2,4,,,0,5,4-Seam Fastball
547180,547179,strikeout,7,R,S,3,2,0,2,,,0,7,Cutter
547180,642545,home_run,8,R,X,2,2,2,6,103.9,34,2,8,4-Seam Fastball
547180,642545,home_run,4,R,X,0,0,0,5,104.6,37,2,1,Slider
547180,681217,field_out,13,R,X,3,2,1,1,99.5,6,0,8,Split-Finger
547180,642545,field_out,11,R,X,0,0,2,2,82.6,60,0,1,Changeup
547180,596001,double,2,R,X,1,1,0,4,96.6,21,1.25,3,Changeup
547180,643511,field_out,5,R,X,1,2,1,7,41.1,-90,0,4,4-Seam Fastball
547180,596001,field_out,9,R,X,1,1,2,1,86,33,0,3,Slider
547180,606424,field_out,7,L,X,0,0,2,5,79.5,5,0,1,Slider
547180,657277,field_out,5,R,X,0,0,2,6,107.2,1,0,1,Changeup
547180,657277,strikeout,14,R,S,0,2,0,4,,,0,3,Changeup
547180,657277,field_out,8,R,X,2,2,2,1,81.3,-35,0,7,Changeup
547180,608678,strikeout,9,R,S,0,2,1,9,,,0,4,Slider
547180,605135,strikeout,1,R,S,2,2,1,6,,,0,5,Sinker
547180,570257,field_out,6,L,X,0,1,1,8,95.6,31,0,2,Sinker
547180,605135,field_out,3,R,X,0,1,2,1,105.8,23,0,2,Cutter
547180,592836,single,8,R,X,0,0,1,5,101.7,14,0.9,1,Cutter
547180,592836,single,9,R,X,0,2,0,4,76.1,17,0.9,3,Curveball
547180,670059,field_out,3,R,X,0,1,2,7,103.6,38,0,2,Slider
547180,592836,field_out,7,R,X,2,1,1,1,,,0,4,Split-Finger
547180,471911,single,3,R,X,0,0,0,6,83.7,20,0.9,1,4-Seam Fastball
547180,471911,field_out,13,R,X,1,1,0,4,66,-48,0,3,Changeup
547180,471911,field_out,9,R,X,2,1,2,1,102.1,63,0,4,4-Seam Fastball
