,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
678,SL,2022-08-17,84.6,-3.39,5.49,"Swanson, Dansby",621020,453286,foul,foul,,,,,4,Dansby Swanson out on a sacrifice fly to center fielder Brandon Nimmo.   Vaughn Grissom scores.    Robbie Grossman to 3rd.,R,R,R,ATL,NYM,S,,,1,0,2022,0.38,0.26,-0.64,2.78,687093.0,543257.0,,1,3,Bot,,,,,543510,,,5.663751665054804,-123.08724660227816,-0.5098355647954151,2.751555031895327,23.855446859077546,-29.65758061357392,3.48,1.64,106.0,72.3,9.0,84.6,2238.0,6.3,661494,453286,543510,624413,643446,683146,596019,592192,607043,516782,54.23,,,,,,,,28,2,Slider,0,4,0,4,4,0,0,4,Standard,Standard,138.0,0.0,-0.077
679,SL,2022-08-17,84.8,-3.24,5.57,"Swanson, Dansby",621020,453286,ball,ball,,,,,13,Dansby Swanson out on a sacrifice fly to center fielder Brandon Nimmo.   Vaughn Grissom scores.    Robbie Grossman to 3rd.,R,R,R,ATL,NYM,B,,,0,0,2022,0.33,0.12,-0.12,1.28,687093.0,543257.0,,1,3,Bot,,,,,543510,,,6.617402603475769,-123.46506513568568,-4.031186017535783,2.2412993619553387,22.059492159450052,-30.3389913290297,3.46,1.64,,,,85.1,2322.0,6.2,661494,453286,543510,624413,643446,683146,596019,592192,607043,516782,54.29,,,,,,,,28,1,Slider,0,4,0,4,4,0,0,4,Standard,Standard,139.0,0.0,0.039
681,SL,2022-08-17,84.2,-3.28,5.72,"Swanson, Dansby",621020,453286,field_out,hit_into_play,,,,,6,Dansby Swanson flies out sharply to center fielder Brandon Nimmo.,R,R,R,ATL,NYM,X,8.0,fly_ball,0,0,2022,0.35,0.29,0.36,2.77,,,,1,1,Bot,157.82,61.81,,,543510,,,7.725948734692002,-122.46136535010248,-1.0076762468391185,1.8835676986312624,25.423293821005704,-29.32650603937781,3.48,1.64,349.0,101.3,40.0,83.8,2372.0,6.2,661494,453286,543510,624413,643446,683146,596019,592192,607043,516782,54.35,0.171,0.324,0.0,1.0,0.0,0.0,5.0,8,1,Slider,0,2,0,2,2,0,0,2,Standard,Standard,175.0,-0.016,-0.156
874,SL,2022-08-06,85.2,-3.36,5.34,"Swanson, Dansby",621020,453286,field_out,hit_into_play,,,,,11,Dansby Swanson pops out to first baseman Darin Ruf in foul territory.,R,R,R,NYM,ATL,X,3.0,popup,2,2,2022,0.34,0.24,-0.88,3.45,,,,0,6,Top,166.74,186.32,,,621512,,,5.136813687584691,-123.96729986048597,1.3934543033397333,2.46516940841948,25.05660190959819,-30.21089118153151,3.52,1.64,76.0,72.1,75.0,85.0,2198.0,6.2,662417,453286,621512,573131,641645,500871,596019,592192,607043,516782,54.3,0.006,0.006,0.0,1.0,0.0,0.0,3.0,41,5,Slider,3,0,0,3,0,3,0,3,Infield shift,Standard,177.0,0.023,-0.195
875,CH,2022-08-06,84.7,-3.15,5.33,"Swanson, Dansby",621020,453286,ball,ball,,,,,14,Dansby Swanson pops out to first baseman Darin Ruf in foul territory.,R,R,R,NYM,ATL,B,,,1,2,2022,-0.97,0.08,1.43,0.54,,,,0,6,Top,,,,,621512,,,12.662407995607122,-122.65808607496324,-4.975998529654731,-12.217233378008974,23.070574364339627,-30.563549938233745,3.38,1.56,,,,85.1,1327.0,6.7,662417,453286,621512,573131,641645,500871,596019,592192,607043,516782,53.8,,,,,,,,41,4,Changeup,3,0,0,3,0,3,0,3,Infield shift,Standard,250.0,0.0,0.037
876,SL,2022-08-06,84.4,-3.22,5.35,"Swanson, Dansby",621020,453286,ball,ball,,,,,14,Dansby Swanson pops out to first baseman Darin Ruf in foul territory.,R,R,R,NYM,ATL,B,,,0,2,2022,0.36,0.23,1.8,1.42,,,,0,6,Top,,,,,621512,,,10.929874452889493,-122.50971679079932,-3.2348397828073168,1.5558242088075656,23.122557972673427,-29.439846964178184,3.63,1.8,,,,84.3,2289.0,6.2,662417,453286,621512,573131,641645,500871,596019,592192,607043,516782,54.26,,,,,,,,41,3,Slider,3,0,0,3,0,3,0,3,Infield shift,Standard,183.0,0.0,0.017
877,CH,2022-08-06,84.3,-3.17,5.38,"Swanson, Dansby",621020,453286,called_strike,called_strike,,,,,7,Dansby Swanson pops out to first baseman Darin Ruf in foul territory.,R,R,R,NYM,ATL,S,,,0,1,2022,-1.07,0.27,-0.79,1.88,,,,0,6,Top,,,,,621512,,,7.67419849287324,-122.54016330839396,-2.305504776333339,-12.284322205714943,24.238390693629825,-29.149288079585677,3.58,1.79,,,,84.5,1415.0,6.5,662417,453286,621512,573131,641645,500871,596019,592192,607043,516782,54.01,,,,,,,,41,2,Changeup,3,0,0,3,0,3,0,3,Infield shift,Standard,244.0,0.0,-0.046
878,FF,2022-08-06,92.2,-3.04,5.59,"Swanson, Dansby",621020,453286,foul,foul,,,,,2,Dansby Swanson pops out to first baseman Darin Ruf in foul territory.,R,R,R,NYM,ATL,S,,,0,0,2022,-1.13,1.31,-0.04,3.26,,,,0,6,Top,,,,,621512,,,10.04968805446014,-133.8857359598299,-2.8976039892925374,-15.7182096235774,28.792107822850426,-15.9927469017356,3.52,1.64,197.0,84.0,63.0,92.0,2364.0,6.3,662417,453286,621512,573131,641645,500871,596019,592192,607043,516782,54.25,,,,,,,,41,1,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shift,Standard,227.0,0.0,-0.034
882,FF,2022-08-06,94.3,-3.05,5.69,"Swanson, Dansby",621020,453286,strikeout,called_strike,,,,,9,Dansby Swanson called out on strikes.,R,R,R,NYM,ATL,S,2.0,,2,2,2022,-0.79,1.49,0.62,1.88,,,,0,4,Top,,,,,621512,,,11.255097435592464,-136.74919262177735,-7.4535999651631615,-12.371527728453156,30.40550704404624,-11.974801642202609,3.55,1.79,,,,93.9,2460.0,6.3,662417,453286,621512,573131,641645,500871,596019,592192,607043,516782,54.21,,,0.0,1.0,0.0,0.0,,26,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Infield shift,Standard,221.0,0.021,-0.195
883,SL,2022-08-06,85.8,-3.31,5.27,"Swanson, Dansby",621020,453286,ball,ball,,,,,14,Dansby Swanson called out on strikes.,R,R,R,NYM,ATL,B,,,1,2,2022,0.26,0.3,1.98,0.68,,,,0,4,Top,,,,,621512,,,11.919695168951389,-124.3196078377942,-5.144126726569773,0.2995180313390184,25.076931751939465,-28.163464856171075,3.4,1.6,,,,85.4,2432.0,6.3,662417,453286,621512,573131,641645,500871,596019,592192,607043,516782,54.21,,,,,,,,26,4,Slider,3,0,0,3,0,3,0,3,Infield shift,Standard,203.0,0.0,0.037
